"","year","month","day","site","ipa","station","org_type","tax_group","species","species_count","mean_length_mm"
"152","2018","07","12","COR","Natural",0,"Fish","Salmon","Chinook",8,94.5
"153","2018","07","12","COR","Natural",1,"Fish","Forage Fish","Herring",5,147
"154","2018","07","12","COR","Natural",1,"Fish","Forage Fish","Sand Lance",1,134
"155","2018","07","12","COR","Natural",1,"Fish","Forage Fish","Surf Smelt",7,106.857142857143
"156","2018","07","12","COR","Natural",1,"Fish","Perch","Shiner Perch",50,34.8
"157","2018","07","12","COR","Natural",1,"Fish","Salmon","Chinook",15,111.466666666667
"158","2018","07","12","COR","Natural",2,"Fish","Stichaeid","Stickleback",1,30
"159","2018","07","12","COR","Restored",0,"Fish","Perch","Shiner Perch",7,80.1428571428571
"160","2018","07","12","COR","Restored",0,"Fish","Salmon","Chinook",9,100.555555555556
"161","2018","07","12","COR","Restored",1,"Fish","Forage Fish","Herring",1,148
"162","2018","07","12","COR","Restored",1,"Fish","Forage Fish","Surf Smelt",1,148
"163","2018","07","12","COR","Restored",1,"Fish","Perch","Shiner Perch",2,80
"164","2018","07","12","COR","Restored",1,"Fish","Salmon","Chinook",6,102.666666666667
"165","2018","07","12","COR","Restored",2,NA,NA,"none",1,0
"166","2018","07","12","TUR","Armored",0,NA,NA,"none",1,0
"167","2018","07","12","TUR","Armored",1,"Benthic invertebrate","Decapod","Kelp Crab",1,45
"168","2018","07","12","TUR","Armored",1,"Fish","Gadidae","Pacific Cod",8,58.25
"169","2018","07","12","TUR","Armored",1,"Fish","Salmon","Chinook",1,120
"170","2018","07","12","TUR","Armored",1,"Fish","Salmon","Pink",1,70
"171","2018","07","12","TUR","Armored",2,"Fish","Salmon","Chinook",11,89.7272727272727
"172","2018","07","12","TUR","Armored",2,"Fish","Salmon","Chum",16,101.5625
"173","2018","07","12","TUR","Armored",2,"Fish","Salmon","Pink",3,81
"174","2018","07","12","TUR","Natural",0,NA,NA,"none",1,0
"175","2018","07","12","TUR","Natural",1,NA,NA,"none",1,0
"176","2018","07","12","TUR","Natural",2,NA,NA,"none",1,0
"177","2018","07","12","TUR","Restored",0,NA,NA,"none",1,0
"178","2018","07","12","TUR","Restored",1,"Benthic invertebrate","Decapod","Kelp Crab",1,1
"179","2018","07","12","TUR","Restored",2,NA,NA,"none",1,0
"180","2018","07","16","SHR","Armored",0,NA,NA,"none",1,0
"181","2018","07","16","SHR","Armored",1,NA,NA,"none",1,0
"182","2018","07","16","SHR","Armored",2,NA,NA,"none",1,0
"183","2018","07","16","SHR","Natural",0,NA,NA,"none",1,0
"184","2018","07","16","SHR","Natural",1,NA,NA,"none",1,0
"185","2018","07","16","SHR","Natural",2,NA,NA,"none",1,0
"186","2018","07","16","SHR","Restored",0,"Benthic invertebrate","Decapod","Graceful Crab",4,38.75
"187","2018","07","16","SHR","Restored",0,"Benthic invertebrate","Decapod","Helmet Crab",3,40
"188","2018","07","16","SHR","Restored",0,"Benthic invertebrate","Decapod","Idotea",1,32
"189","2018","07","16","SHR","Restored",0,"Benthic invertebrate","Decapod","Pandalid",12,44.1666666666667
"190","2018","07","16","SHR","Restored",0,"Fish","Perch","Shiner Perch",15,91.7333333333333
"191","2018","07","16","SHR","Restored",1,NA,NA,"none",1,0
"192","2018","07","16","SHR","Restored",2,NA,NA,"none",1,0
"193","2018","07","18","EDG","Armored",0,NA,NA,"none",1,0
"194","2018","07","18","EDG","Armored",1,NA,NA,"none",1,0
"195","2018","07","18","EDG","Armored",2,NA,NA,"none",1,0
"196","2018","07","18","EDG","Natural",0,"Fish","Salmon","Chinook",2,124
"197","2018","07","18","EDG","Natural",0,"Fish","Salmon","Chum",6,135
"198","2018","07","18","EDG","Natural",0,"Fish","Stichaeid","Stickleback",2,60
"199","2018","07","18","EDG","Natural",1,NA,NA,"none",1,0
"200","2018","07","18","EDG","Natural",2,NA,NA,"none",1,0
"201","2018","07","18","EDG","Restored",0,NA,NA,"none",1,0
"202","2018","07","18","EDG","Restored",1,"Fish","Salmon","Chinook",1,105
"203","2018","07","18","EDG","Restored",1,"Fish","Salmon","Chum",2,152.5
"204","2018","07","18","EDG","Restored",1,"Pelagic invertebrate","Jellyfish","Fried Egg Jelly",1,0
"205","2018","07","18","EDG","Restored",2,NA,NA,"none",1,0
"206","2018","07","19","DOK","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",30,0
"207","2018","07","19","DOK","Armored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",50,0
"208","2018","07","19","DOK","Armored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",100,0
"209","2018","07","19","DOK","Natural",0,"Fish","Perch","Shiner Perch",1,57
"210","2018","07","19","DOK","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",30,0
"211","2018","07","19","DOK","Natural",1,"Pelagic invertebrate","Jellyfish","Ctenophore",30,0
"212","2018","07","19","DOK","Natural",2,"Fish","Salmon","Chum",1,120
"213","2018","07","19","DOK","Natural",2,"Pelagic invertebrate","Jellyfish","Ctenophore",75,0
"214","2018","07","19","DOK","Restored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",50,0
"215","2018","07","19","DOK","Restored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",50,0
"216","2018","07","19","DOK","Restored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",50,0
"217","2018","08","01","SHR","Armored",0,NA,NA,"none",1,0
"218","2018","08","01","SHR","Armored",1,NA,NA,"none",1,0
"219","2018","08","01","SHR","Armored",2,NA,NA,"none",1,0
"220","2018","08","01","SHR","Natural",0,NA,NA,"none",1,0
"221","2018","08","01","SHR","Natural",1,NA,NA,"none",1,0
"222","2018","08","01","SHR","Natural",2,NA,NA,"none",1,0
"223","2018","08","01","SHR","Restored",0,"Benthic invertebrate","Decapod","Kelp Crab",1,60
"224","2018","08","01","SHR","Restored",0,"Fish","Perch","Shiner Perch",16,97.625
"225","2018","08","01","SHR","Restored",0,"Fish","Salmon","Chinook",1,195
"226","2018","08","01","SHR","Restored",0,"Fish","Sygnathid","Pipefish",3,78.6666666666667
"227","2018","08","01","SHR","Restored",1,NA,NA,"none",1,0
"228","2018","08","01","SHR","Restored",2,NA,NA,"none",1,0
"229","2018","08","03","DOK","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",10,0
"230","2018","08","03","DOK","Armored",1,"Fish","Salmon","Chinook",1,127
"231","2018","08","03","DOK","Armored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",100,0
"232","2018","08","03","DOK","Armored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",100,0
"233","2018","08","03","DOK","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",30,0
"234","2018","08","03","DOK","Natural",1,"Pelagic invertebrate","Jellyfish","Ctenophore",40,0
"235","2018","08","03","DOK","Natural",2,"Pelagic invertebrate","Jellyfish","Ctenophore",99,0
"236","2018","08","03","DOK","Restored",0,"Fish","Perch","Shiner Perch",148,7.59459459459459
"237","2018","08","03","DOK","Restored",1,NA,NA,"none",1,0
"238","2018","08","03","DOK","Restored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",30,0
"239","2018","08","07","EDG","Armored",0,"Pelagic invertebrate","Jellyfish","Fried Egg Jelly",1,25
"240","2018","08","07","EDG","Armored",1,NA,NA,"none",1,0
"241","2018","08","07","EDG","Armored",2,NA,NA,"none",1,0
"242","2018","08","07","EDG","Natural",0,NA,NA,"none",1,0
"243","2018","08","07","EDG","Natural",1,NA,NA,"none",1,0
"244","2018","08","07","EDG","Natural",2,NA,NA,"none",1,0
"245","2018","08","07","EDG","Restored",0,NA,NA,"none",1,0
"246","2018","08","07","EDG","Restored",1,NA,NA,"none",1,0
"247","2018","08","07","EDG","Restored",2,NA,NA,"none",1,0
"248","2018","08","23","FAM","Armored",0,NA,NA,"none",1,0
"249","2018","08","23","FAM","Armored",1,NA,NA,"none",1,0
"250","2018","08","23","FAM","Armored",2,NA,NA,"none",1,0
"251","2018","08","23","FAM","Natural",0,"Fish","Perch","Shiner Perch",55,20.7090909090909
"252","2018","08","23","FAM","Natural",1,"Benthic invertebrate","Decapod","UnID Amphipod",1,0
"253","2018","08","23","FAM","Natural",1,"Benthic invertebrate","Decapod","UnID Shrimp",1,0
"254","2018","08","23","FAM","Natural",1,"Pelagic invertebrate","Jellyfish","Ctenophore",1,0
"255","2018","08","23","FAM","Natural",1,"Pelagic invertebrate","Jellyfish","Moon Jelly",11,0
"256","2018","08","23","FAM","Natural",2,"Pelagic invertebrate","Jellyfish","Moon Jelly",1,0
"257","2018","08","23","FAM","Restored",0,NA,NA,"none",1,0
"258","2018","08","23","FAM","Restored",1,NA,NA,"none",1,0
"259","2018","08","23","FAM","Restored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",2,0
"260","2018","08","23","FAM","Restored",2,"Pelagic invertebrate","Jellyfish","Moon Jelly",3,0
"261","2018","08","23","TUR","Armored",0,"Benthic invertebrate","Decapod","Green Shrimp",1,50
"262","2018","08","23","TUR","Armored",0,"Benthic invertebrate","Decapod","Striped Shrimp",2,59
"263","2018","08","23","TUR","Armored",0,"Fish","Cottidae","Silver Spotted Sculpin",2,77
"264","2018","08","23","TUR","Armored",0,"Fish","Perch","Shiner Perch",33,38.6666666666667
"265","2018","08","23","TUR","Armored",0,"Fish","Perch","Striped Perch",4,87.5
"266","2018","08","23","TUR","Armored",0,"Fish","Pholidae","Crescent Gunnel",1,70
"267","2018","08","23","TUR","Armored",1,"Benthic invertebrate","Decapod","Green Shrimp",36,10.5
"268","2018","08","23","TUR","Armored",1,"Benthic invertebrate","Decapod","Kelp Crab",2,35
"269","2018","08","23","TUR","Armored",1,"Benthic invertebrate","Decapod","Striped Shrimp",11,46.6363636363636
"270","2018","08","23","TUR","Armored",1,"Fish","Perch","Shiner Perch",55,22.5818181818182
"271","2018","08","23","TUR","Armored",1,"Fish","Perch","Striped Perch",5,74.2
"272","2018","08","23","TUR","Armored",2,"Fish","Perch","Shiner Perch",2,80.5
"273","2018","08","23","TUR","Armored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",5,0
"274","2018","08","23","TUR","Natural",0,"Benthic invertebrate","Decapod","Green Shrimp",1,0
"275","2018","08","23","TUR","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",5,0
"276","2018","08","23","TUR","Natural",0,"Pelagic invertebrate","Jellyfish","Moon Jelly",1,0
"277","2018","08","23","TUR","Natural",1,NA,NA,"none",1,0
"278","2018","08","23","TUR","Natural",2,"Pelagic invertebrate","Jellyfish","Ctenophore",10,0
"279","2018","08","23","TUR","Restored",0,NA,NA,"none",1,0
"280","2018","08","23","TUR","Restored",1,NA,NA,"none",1,0
"281","2018","08","23","TUR","Restored",2,NA,NA,"none",1,0
"282","2018","08","29","COR","Armored",0,"Fish","Cottidae","Buffalo Sculpin",4,37.75
"283","2018","08","29","COR","Armored",0,"Fish","Forage Fish","Herring",1,75
"284","2018","08","29","COR","Armored",0,"Fish","Forage Fish","Sand Lance",1,83
"285","2018","08","29","COR","Armored",0,"Fish","Hexagrammidae","White Spotted Greenling",1,105
"286","2018","08","29","COR","Armored",0,"Fish","Perch","Shiner Perch",37,36.1081081081081
"287","2018","08","29","COR","Armored",0,"Fish","Perch","Striped Perch",1,80
"288","2018","08","29","COR","Armored",1,NA,NA,"none",1,0
"289","2018","08","29","COR","Armored",2,NA,NA,"none",1,0
"290","2018","08","29","COR","Natural",0,"Fish","Perch","Shiner Perch",4,125
"291","2018","08","29","COR","Natural",0,"Fish","Salmon","Chinook",1,130
"292","2018","08","29","COR","Natural",1,NA,NA,"none",1,0
"293","2018","08","29","COR","Natural",2,NA,NA,"none",1,0
"294","2018","08","29","COR","Restored",0,"Fish","Perch","Shiner Perch",18,91.4444444444444
"295","2018","08","29","COR","Restored",0,"Fish","Salmon","Chinook",1,115
"296","2018","08","29","COR","Restored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",80,0
"297","2018","08","29","COR","Restored",1,"Fish","Perch","Shiner Perch",6,96.1666666666667
"298","2018","08","29","COR","Restored",1,"Fish","Salmon","Chinook",1,131
"299","2018","08","29","COR","Restored",2,"Fish","Forage Fish","Surf Smelt",1,110
"300","2018","08","29","COR","Restored",2,"Fish","Salmon","Chinook",1,135
"301","2018","08","29","COR","Restored",2,"Pelagic invertebrate","Jellyfish","Ctenophore",100,0
"302","2018","09","06","DOK","Armored",0,"Benthic invertebrate","Decapod","Shore Crab",1,5
"303","2018","09","06","DOK","Armored",0,"Pelagic invertebrate","Jellyfish","Ctenophore",5,0
"304","2018","09","06","DOK","Armored",1,"Fish","Salmon","Chinook",1,138
"305","2018","09","06","DOK","Armored",2,"Fish","Forage Fish","Herring",4,110.75
"306","2018","09","06","DOK","Armored",2,"Fish","Forage Fish","Surf Smelt",12,104.25
"307","2018","09","06","DOK","Natural",0,"Benthic invertebrate","Decapod","Shore Crab",1,15
"308","2018","09","06","DOK","Natural",0,"Fish","Perch","Shiner Perch",7,65.7142857142857
"309","2018","09","06","DOK","Natural",0,"Pelagic invertebrate","Jellyfish","Ctenophore",1,40
"310","2018","09","06","DOK","Natural",1,NA,NA,"none",1,0
"311","2018","09","06","DOK","Natural",2,NA,NA,"none",1,0
"312","2018","09","06","DOK","Restored",0,"Benthic invertebrate","Decapod","Shore Crab",1,18
"313","2018","09","06","DOK","Restored",0,"Fish","Flatfish","Speckled Sand Dab",1,137
"314","2018","09","06","DOK","Restored",1,"Benthic invertebrate","Decapod","Shore Crab",1,15
"315","2018","09","06","DOK","Restored",1,"Fish","Stichaeid","Stickleback",1,30
"316","2018","09","06","DOK","Restored",1,"Pelagic invertebrate","Jellyfish","Ctenophore",1,10
"317","2018","09","06","DOK","Restored",2,NA,NA,"none",1,0
"318","2018","09","06","SHR","Armored",0,NA,NA,"none",1,0
"319","2018","09","06","SHR","Armored",1,"Benthic invertebrate","Decapod","Shore Crab",1,17
"320","2018","09","06","SHR","Armored",1,"Fish","Stichaeid","Stickleback",2,35.5
"321","2018","09","06","SHR","Armored",2,NA,NA,"none",1,0
"322","2018","09","06","SHR","Natural",0,NA,NA,"none",1,0
"323","2018","09","06","SHR","Natural",1,NA,NA,"none",1,0
"324","2018","09","06","SHR","Natural",2,NA,NA,"none",1,0
"325","2018","09","06","SHR","Restored",0,"Fish","Perch","Shiner Perch",1,78
"326","2018","09","06","SHR","Restored",1,NA,NA,"none",1,0
"327","2018","09","06","SHR","Restored",2,NA,NA,"none",1,0
"328","2018","09","11","FAM","Armored",0,"Fish","Forage Fish","Herring",1,82
"329","2018","09","11","FAM","Armored",0,"Fish","Perch","Shiner Perch",7,86.1428571428571
